"Ano","CNAE","Motivo/Situação","Qte Acidentes","Situação","GrupoCnae","GrCnaeLetra"
"2006","9999:Ignorado","Típico-Com Cat","10941","Com Cat Registrada","IGNORADO","IGNORADO"
"2006","9999:Ignorado","Doença do Trabalho-Com Cat","287","Com Cat Registrada","IGNORADO","IGNORADO"
"2006","9999:Ignorado","Trajeto-Com Cat","1221","Com Cat Registrada","IGNORADO","IGNORADO"
"2006","0111:Cultivo de Cereais","Típico-Com Cat","771","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0111:Cultivo de Cereais","Doença do Trabalho-Com Cat","9","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0111:Cultivo de Cereais","Trajeto-Com Cat","59","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0112:Cultivo de Algodão Herbáceo e de Outras","Típico-Com Cat","130","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0112:Cultivo de Algodão Herbáceo e de Outras","Doença do Trabalho-Com Cat","1","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0112:Cultivo de Algodão Herbáceo e de Outras","Trajeto-Com Cat","10","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0113:Cultivo de Cana-De-Açúcar","Típico-Com Cat","7790","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0113:Cultivo de Cana-De-Açúcar","Doença do Trabalho-Com Cat","38","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0113:Cultivo de Cana-De-Açúcar","Trajeto-Com Cat","253","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0114:Cultivo de Fumo","Típico-Com Cat","157","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0114:Cultivo de Fumo","Doença do Trabalho-Com Cat","1","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0114:Cultivo de Fumo","Trajeto-Com Cat","23","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
